dwd_id,wmo_id,name
1228,10004,UFS TW Ems
954,10007,UFS Deutsche Bucht
2115,10015,Helgoland
3032,10020,List auf Sylt
2907,10022,Leck
4393,10028,Sankt Peter-Ording
1666,10033,Glücksburg-Meierwik
4466,10035,Schleswig
2437,10037,Schleswig-Jagel
2303,10038,Hohn
5930,10042,Schönhagen (Ostseebad)
2961,10044,Leuchtturm Kiel
2564,10046,Kiel-Holtenau
5516,10055,Fehmarn
3170,10067,Marienleuchte
183,10091,Arkona
4024,10093,Putbus
1759,10097,Greifswalder Oie
3631,10113,Norderney
102,10124,Leuchtturm Alte Weser
5640,10126,Wittmundhafen
701,10129,Bremerhaven
1200,10130,Elpersbüttel
891,10131,Cuxhaven
3639,10136,Nordholz (Flugplatz)
704,10139,Bremervörde
2429,10142,Itzehoe
4039,10146,Quickborn
1975,10147,Hamburg-Fuhlsbüttel
6163,10150,Dörnick
3897,10152,Pelzerhaken
3086,10156,Lübeck-Blankensee
596,10161,Boltenhagen
4625,10162,Schwerin
1694,10168,Goldberg
4271,10170,Rostock-Warnemünde
2796,10172,Laage (Flugplatz)
298,10180,Barth
1757,10184,Greifswald
5142,10193,Ueckermünde
5839,10200,Emden
1503,10210,Friesoythe-Altenoythe
691,10224,Bremen
4745,10235,Soltau
368,10238,Bergen
1339,10246,Faßberg
591,10249,Boizenburg
3093,10253,Lüchow
4642,10261,Seehausen
3196,10264,Marnitz
2794,10267,Kyritz
5349,10268,Waren (Müritz)
3552,10270,Neuruppin
5109,10281,Trollenhagen
7351,10282,Feldberg/Mecklenburg
1869,10289,Grünow
164,10291,Angermünde
3254,10304,Meppen
3023,10305,Lingen
4174,10306,Rheine-Bentlage
7374,10309,Ahaus
342,10312,Belm
1766,10315,Münster/Osnabrück
963,10321,Diepholz
4371,10325,"Salzuflen, Bad"
5715,10334,Wunstorf
769,10335,Bückeburg
2014,10338,Hannover
850,10343,Celle
662,10348,Braunschweig
5158,10356,Ummendorf
1544,10359,Gardelegen
3126,10361,Magdeburg
1605,10365,Genthin
5546,10368,Wiesenburg
303,10376,Baruth
3987,10379,Potsdam
403,10381,Berlin-Dahlem (FU)
430,10382,Berlin-Tegel
433,10384,Berlin-Tempelhof
427,10385,Berlin-Schönefeld
3015,10393,Lindenberg
5809,10394,Lindenberg (WPR)
3158,10396,Manschnow
1078,10400,Düsseldorf
1303,10410,Essen-Bredeney
3098,10418,Lüdenscheid
5480,10424,Werl
2483,10427,Kahler Asten
3028,10430,"Lippspringe, Bad"
6197,10433,Lügde-Paenbruch
5347,10435,Warburg
1504,10439,Fritzlar (Flugplatz)
15207,10441,Schauenburg-Elgershausen
7367,10442,Alfeld
1691,10444,Göttingen
2925,10449,Leinefelde
656,10452,Braunlage
722,10453,Brocken
5490,10454,Wernigerode
2044,10458,Harzgerode
198,10460,Artern
2932,10469,Leipzig/Halle
2928,10471,Leipzig-Holzhausen
5629,10474,Wittenberg
2315,10476,Holzdorf (Flugplatz)
3811,10480,Oschatz
1048,10488,Dresden-Klotzsche
1001,10490,Doberlug-Kirchhain
7393,10495,Hoyerswerda
880,10496,Cottbus
1684,10499,Görlitz
1572,10500,Geilenkirchen (Flugplatz)
3623,10502,Nörvenich (Flugplatz)
15000,10505,Aachen-Orsbach
3660,10506,Nürburg-Barweiler
2667,10513,Köln-Bonn
7340,10516,Koblenz (Falckensteinkaserne)
603,10519,Bonn-Roleber
161,10520,Andernach
3167,10526,"Marienberg, Bad"
1639,10532,Gießen/Wettenberg
7396,10534,Hoherodskopf/Vogelsberg
7410,10537,Neu-Ulrichstein
7368,10540,Eisenach
2171,10542,"Hersfeld, Bad"
5371,10544,Wasserkuppe
3231,10548,Meiningen
4501,10552,Schmücke
1270,10554,Erfurt-Weimar
3513,10557,Neuhaus am Rennweg
4464,10564,Schleiz
3821,10565,Osterfeld
1612,10567,Gera-Leumnitz
3946,10569,Plauen
840,10574,Carlsfeld
853,10577,Chemnitz
1358,10578,Fichtelberg
3166,10579,Marienberg
5779,10582,Zinnwald-Georgenfeld
2985,10591,Lichtenhain-Mittelndorf
6232,10605,Neuheilenbach (NHB)
5100,10609,Trier-Petrisberg
766,10613,Büchel (Flugplatz)
953,10615,Deuselbach
5871,10616,Hahn
2385,10618,Idar-Oberstein
1580,10628,Geisenheim
2601,10635,Kleiner Feldberg/Taunus
1420,10637,Frankfurt/Main
7341,10641,Offenbach-Wetterpark
7412,10646,Neuhütten/Spessart
3287,10648,Michelstadt-Vielbrunn
5705,10655,Würzburg
2597,10658,"Kissingen, Bad"
867,10671,Lautertal-Oberlauter
282,10675,Bamberg
2261,10685,Hof
7394,10686,Wunsiedel-Schönbrunn
5397,10688,Weiden
460,10704,Berus
5029,10706,Tholey
4336,10708,Saarbrücken-Ensheim
5426,10724,Weinbiet
5906,10729,Mannheim
4177,10731,Rheinstetten
13674,10733,Waibstadt
3362,10736,Mühlacker
4931,10738,Stuttgart-Echterdingen
4928,10739,Stuttgart (Schnarrenberg)
3761,10742,Öhringen
3603,10743,Niederstetten
2485,10747,Kaisersbach-Cronhütte
7369,10756,Feuchtwangen-Heilbronn
5440,10761,Weißenburg-Emetzheim
3668,10763,Nürnberg
4280,10765,Roth
2773,10771,Kümmersbruck
4104,10776,Regensburg
1587,10777,Gelbelsee
7370,10782,Waldmünchen
4911,10788,Straubing
1832,10791,Großer Arber
5800,10796,Zwiesel
1443,10803,Freiburg
2812,10805,Lahr
1468,10815,Freudenstadt
2638,10818,Klippeneck
3268,10827,Meßstetten
4887,10836,Stötten
2886,10837,Laupheim
15444,10840,Ulm-Mähringen
2023,10850,Harburg
232,10852,Augsburg
3484,10853,Neuburg/Donau (Flugplatz)
2905,10856,Lechfeld
2829,10857,Landsberg (Flugplatz)
2410,10860,Ingolstadt (Flugplatz)
